category,k,r,band95,any_lag_band95,p_shift,outside
dealer,-8,-0.0319113669157652,0.0689686748469663,0.10018576364158736,0.3523238380809595,False
dealer,-7,-0.022247765830883826,0.06649023311232077,0.10018576364158736,0.5067466266866567,False
dealer,-6,0.0327706982904805,0.06778958295174657,0.10018576364158736,0.33883058470764615,False
dealer,-5,0.10453690516373745,0.06785755455444932,0.10018576364158736,0.0004997501249375312,True
dealer,-4,0.028071342624244676,0.06720171700391057,0.10018576364158736,0.39980009995002497,False
dealer,-3,-0.013257698131360544,0.06844333693736598,0.10018576364158736,0.7066466766616691,False
dealer,-2,-0.1449077444174641,0.06839626731104663,0.10018576364158736,0.0004997501249375312,True
dealer,-1,-0.1550294366167975,0.06671204785278492,0.10018576364158736,0.0004997501249375312,True
dealer,0,-0.08656074375371003,0.06669561016756625,0.10018576364158736,0.013993003498250875,True
dealer,1,0.059040265521973286,0.0682066869462618,0.10018576364158736,0.08745627186406797,False
dealer,2,0.043463974416264206,0.06727896488596775,0.10018576364158736,0.19740129935032483,False
dealer,3,-0.02517898412124604,0.06766298108527606,0.10018576364158736,0.45327336331834084,False
dealer,4,0.02217539212834901,0.06716327403557072,0.10018576364158736,0.5112443778110944,False
dealer,5,0.026305913191396017,0.06532768876087641,0.10018576364158736,0.44677661169415295,False
dealer,6,-0.04435256478218289,0.06556044563594621,0.10018576364158736,0.1794102948525737,False
dealer,7,-0.08154398737179656,0.06821095111644682,0.10018576364158736,0.01699150424787606,True
dealer,8,-0.005880605524299186,0.06728944495551493,0.10018576364158736,0.8710644677661169,False
asset_mgr,-8,-0.02081486506590425,0.06853881959801911,0.1046297648630546,0.5647176411794103,False
asset_mgr,-7,-0.02732195816839931,0.06623318370026035,0.1046297648630546,0.44577711144427784,False
asset_mgr,-6,0.0014372916278085064,0.06333093773459889,0.1046297648630546,0.9705147426286856,False
asset_mgr,-5,-0.08273397487431082,0.0651902894111751,0.1046297648630546,0.017491254372813594,True
