category,k,r,band95,any_lag_band95,p_shift,outside
dealer,-8,-0.021287049255581985,0.06885661371423607,0.10378469096642322,0.5397301349325337,False
dealer,-7,-0.0059157899331153735,0.06908527838667358,0.10378469096642322,0.8845577211394303,False
dealer,-6,-0.012278139622292066,0.06773160906303526,0.10378469096642322,0.7521239380309845,False
dealer,-5,0.020802166367450584,0.06806407725366252,0.10378469096642322,0.5822088955522239,False
dealer,-4,-0.0010028239540415295,0.06726982911080694,0.10378469096642322,0.9735132433783108,False
dealer,-3,-0.04446266457720046,0.06788216117797444,0.10378469096642322,0.22338830584707647,False
dealer,-2,0.06130935793281523,0.06717070765195007,0.10378469096642322,0.08045977011494253,False
dealer,-1,0.09242015129402817,0.06764783922779385,0.10378469096642322,0.0079960019990005,True
dealer,0,0.14749843896523163,0.06771117858519154,0.10378469096642322,0.0004997501249375312,True
dealer,1,0.004817839593310487,0.06728615698291537,0.10378469096642322,0.904047976011994,False
dealer,2,0.022071229806270423,0.06737612309841493,0.10378469096642322,0.5632183908045977,False
dealer,3,0.07175590615901965,0.06703964044310977,0.10378469096642322,0.03548225887056472,True
dealer,4,0.022172173591657206,0.06724804017010923,0.10378469096642322,0.5577211394302849,False
dealer,5,0.049112185704107594,0.06968591845149502,0.10378469096642322,0.1619190404797601,False
dealer,6,0.015789230791341036,0.0679271117409968,0.10378469096642322,0.6911544227886057,False
dealer,7,0.06067427594270647,0.07166903283414425,0.10378469096642322,0.10294852573713144,False
dealer,8,0.0006637067140847474,0.0720654823148807,0.10378469096642322,0.991504247876062,False
asset_mgr,-8,-0.029879898559220706,0.06778056587052081,0.11307093721783125,0.3933033483258371,False
asset_mgr,-7,-0.037332507154007,0.06915619133349281,0.11307093721783125,0.28585707146426786,False
asset_mgr,-6,-0.018966652516252458,0.06848654642563794,0.11307093721783125,0.5877061469265368,False
asset_mgr,-5,-0.004704899275705506,0.06812732429568645,0.11307093721783125,0.8855572213893054,False
asset_mgr,-4,-0.028901324495812446,0.06852039587685665,0.11307093721783125,0.3988005997001499,False
asset_mgr,-3,-0.06862494962647639,0.06868377730910892,0.11307093721783125,0.05147426286856572,False
asset_mgr,-2,-0.03768267377892784,0.06752966028700802,0.11307093721783125,0.2608695652173913,False
asset_mgr,-1,0.027089057506493992,0.07009986538731533,0.11307093721783125,0.48375812093953025,False
asset_mgr,0,0.1273708128903614,0.07065304332840382,0.11307093721783125,0.0004997501249375312,True
asset_mgr,1,-0.0007333644574953343,0.06770717059345105,0.11307093721783125,0.9740129935032483,False
asset_mgr,2,0.007682639692644475,0.07208908888019415,0.11307093721783125,0.8140929535232384,False
asset_mgr,3,0.05724031714578406,0.07025916524094832,0.11307093721783125,0.08595702148925537,False
asset_mgr,4,0.011820120562060166,0.06949777636433153,0.11307093721783125,0.7401299350324838,False
asset_mgr,5,0.1115148183615549,0.06618795048462908,0.11307093721783125,0.004997501249375313,True
asset_mgr,6,0.03454562462382089,0.06674445473506468,0.11307093721783125,0.32533733133433285,False
asset_mgr,7,0.03718689524161448,0.07052669300892267,0.11307093721783125,0.2913543228385807,False
asset_mgr,8,0.028132991264741048,0.0673552549888072,0.11307093721783125,0.40229885057471265,False
lev_money,-8,0.019164725074765965,0.06685762375431209,0.09819670072404203,0.6316841579210395,False
lev_money,-7,-0.0043636071379763745,0.06764295287107817,0.09819670072404203,0.9060469765117442,False
lev_money,-6,-0.024170578269739475,0.06576676185803074,0.09819670072404203,0.5237381309345327,False
lev_money,-5,0.06770500058016257,0.06512449807384109,0.09819670072404203,0.04447776111944028,True
lev_money,-4,0.03459199490980825,0.06440454664072728,0.09819670072404203,0.35132433783108447,False
lev_money,-3,0.020733272841693122,0.06509049800802875,0.09819670072404203,0.5962018990504747,False
