category,label,n,r,ci_lo,ci_hi,p_shift,spearman,r_4w,p_shift_4w,r_2010–15,n_2010–15,r_2016–20,n_2016–20,r_2021–26,n_2021–26,r_consolidated
dealer,Dealers,820,-0.08656074375371003,-0.19341987728080268,0.030440916089426104,0.013993003498250875,-0.10687566554220182,-0.261118406943914,0.0004997501249375312,-0.24613519890805832,290,-0.15482876866986797,261,0.202815742519604,269,-0.09112163222873053
asset_mgr,Asset managers,820,0.28389445997969537,0.22177806997774047,0.34979300493963544,0.0004997501249375312,0.316945406418344,0.4085277830700258,0.0004997501249375312,0.22481091139523285,290,0.2793826578589073,261,0.38721619705724425,269,0.26823854085141924
lev_money,Leveraged funds,820,-0.12894329233660395,-0.26472477891796653,0.00622729180288458,0.0004997501249375312,-0.060499662278590806,-0.0034542315977212933,0.9415292353823088,0.16113137449150255,290,-0.08250384804575221,261,-0.45278537061467017,269,-0.1010747705870957
other_rept,Other reportables,820,0.09912913527172007,-0.02116556062460591,0.17721058863222322,0.014992503748125937,0.03266563326819144,0.10565326325172726,0.043478260869565216,0.06693532441984078,290,0.15593235422363888,261,0.06145209588518232,269,0.09357588005713999
nonrept,Non-reportables,820,-0.1268658183425732,-0.23353339544259563,-0.03522208993499914,0.0004997501249375312,-0.13211220587401776,-0.016374281993315667,0.7956021989005497,0.025177665622994238,290,-0.19232386992401945,261,-0.2722340144083392,269,-0.18168734084193033
